commit	val_acc	status	description
3159c79	0.403663	keep	baseline (default config)
660592e	0.404160	keep	lr=0.003 (small improvement over baseline)
660592e	0.378789	discard	weight_decay=0.001 (worse than baseline)
685b461	0.000000	crash	hidden_size=128 (timeout, too slow)
85a4e84	0.404160	keep	lr=0.003 (improved over baseline)
903da9c	0.365933	discard	dropout=0.1 (worse than baseline)
9ba5aec	0.398620	discard	weight_decay=0.05 (worse than lr=0.003)
f4e29eb	0.000000	crash	lr=0.003 wd=0.005 (timeout)
3478c48	0.404698	keep	batch_size=64 (slight improvement)
a682fcf	0.384976	discard	lr=0.003 + bs=64 (worse than bs=64 alone)
8baeb75	0.392872	discard	proj_dim=64 (worse than bs=64)
7bc6610	0.309639	discard	loss at all timesteps + bs=64 (much worse)
8ef6b13	0.380573	discard	LSTM + bs=64 (worse than GRU)
3d07af2	0.391291	discard	bs=64 lr=0.002 (worse than bs=64 alone)
1befb96	0.000000	crash	temporal diff + bs=64 (incompatible with standardize_data)
5882f88	0.404698	discard	patience=200 + bs=64 (equal to bs=64 alone)
d35f595	0.406403	keep	mua + bs=64 (improved over lfp)
d7d83e1	0.373274	discard	mua + bs=64 + lr=0.003 (worse than mua+bs=64)
26889b6	0.384899	discard	mua + bs=64 + dropout=0.1 (worse than mua+bs=64)
2696a56	0.406403	discard	mua + bs=64 + patience=1000 (equal to mua+bs=64)
61e0183	0.451584	keep	V4+IT + mua + bs=64 (huge improvement)
975addd	0.000000	crash	V4+IT mua bs=64 lr=0.003 (filename too long)
324f0d9	0.404917	discard	V1+V4+IT + mua + bs=64 (worse than V4+IT alone)
5976831	0.000000	crash	V4+IT mua bs=64 lr=0.002 (filename too long)
c3dba74	0.441182	discard	V4+IT mua bs=64 lr=0.002 (worse than V4+IT mua bs=64)
49431ca	0.469089	keep	V4+IT mua bs=64 proj_dim=64 (improved)
8187b62	0.464598	discard	V4+IT mua bs=64 proj=64 lr=0.002 (worse than lr=0.001)
a477bac	0.454491	discard	V4+IT mua bs=64 proj=64 dropout=0.2 (worse than dropout=0.3)
4a5df8e	0.462598	discard	V4+IT mua bs=64 proj=64 hidden=128 (worse than hidden=64)
18d0c53	0.476027	keep	V4+IT mua bs=64 proj=64 bidirectional (improved)
9e06631	0.452972	discard	2-layer bidirectional (worse than 1-layer)
0c960b3	0.492242	keep	V4+IT mua bs=64 proj=64 bidirectional lr=0.0005 (big improvement)
aa09f74	0.489948	discard	bidirectional lr=0.0005 wd=0.005 (worse than wd=0.01)
acc6c4f	0.454983	discard	bidirectional hs=128 (worse than hs=64)
b89f9f3	0.470007	discard	bidirectional lr=0.0003 (worse than lr=0.0005)
035f04d	0.492242	discard	bidirectional patience=1000 (same as patience=500)
5e2fc79	0.485937	discard	no channel selection (worse than with selection)
d6490cf	0.313975	discard	V4 only bidirectional (much worse than V4+IT)
f1dd71c	0.000000	crash	monkeyN bidirectional (data not found)
8283f04	0.000000	crash	proj_dim=128 (monkeyN data missing)
21e2e90	0.453693	discard	proj_dim=128 (worse than proj=64)
1f37589	0.255857	discard	temporal diff (much worse)
fc9e13f	0.475809	discard	attention mechanism (worse than bidirectional alone)
4926143	0.478617	discard	decode from 0ms (worse than 50ms)
9ef8e82	0.448372	discard	decode from 100ms (worse than 50ms)
788aae6	0.488625	discard	bidirectional lr=0.0007 (worse than lr=0.0005)
5000793	0.476333	discard	bidirectional dropout=0.2 (worse than 0.3)
9e5f150	0.488822	discard	bidirectional wd=0.02 (worse than wd=0.01)
ca0c068	0.494941	keep	bidirectional + cosine annealing (slight improvement)
0c5954a	0.471230	discard	2-layer GRU with dropout (worse than 1-layer)
72a82b0	0.478744	discard	batch_size=128 (worse than 64)
82a8ccf	0.475120	discard	decode 50-300ms (worse than 50-250ms)
fc67d6f	0.467504	discard	step size 5ms (worse than 10ms)
1e7fc17	0.477011	discard	label smoothing 0.1 (worse than no smoothing)
25095eb	0.420052	discard	seed=123 (worse than seed=42)
81e1a55	0.482627	discard	grad_clip=1.0 (worse than no clipping)
b9a9c17	0.476726	discard	proj_dim=48 (worse than 64)
8bd2e63	0.464806	discard	proj_dim=80 (worse than 64)
f51ed40	0.490625	discard	wd=0.015 (worse than wd=0.01)
87a9ac1	0.456108	discard	good_channel_threshold=1.0 (worse than 1.5)
3953d50	0.472192	discard	good_channel_threshold=2.0 (worse than 1.5)
a0b6a04	0.465286	discard	hidden_size=96 (worse than 64)
fb07de2	0.489543	discard	wd=0.005 (worse than wd=0.01)
aa990b0	0.472498	discard	avg_time=5 (worse than avg_time=10)
b215a0c	0.494941	discard	patience=750 (same as patience=500)
9e1df4f	0.454142	discard	loss at all timesteps (worse than last timestep)
bce3735	0.493837	discard	n_epochs=3000 (slightly worse)
124d448	0.363757	discard	skip input projection (much worse)
