commit	val_acc	status	description
3159c79	0.407870	keep	baseline (default config)
14d4c3a	0.398620	discard	weight_decay 0.05 (more reg, worse)
33ca1f5	0.395145	discard	dropout 0.5 (more reg, worse)
ab2a3f1	0.405257	discard	lr 0.002 (faster opt, ~equal, slightly worse)
9ac9cc8	0.390808	discard	proj_dim 64 (more capacity, overfit worse)
4a5c11d	0.417694	keep	neural_data mua (multi-unit > lfp)
e10e753	0.446462	keep	mua + V4&IT (rois [2,3], 176ch)
54e80b3	0.427493	discard	mua + V1&V4&IT (rois [1,2,3], 329ch, V1 noise hurts)
2b257ae	0.463420	keep	mua+V4&IT + proj_dim 64
a16349f	0.448997	discard	proj_dim 128 (too much capacity, overfit)
5469c25	0.456051	discard	hidden_size 128 (overfit)
86345b1	0.448265	discard	num_layers 2 (deeper GRU, overfit)
a66ce2a	0.480456	keep	decode window 50-400ms (35 timesteps)
7bdc5c7	0.459579	discard	decode 50-550ms (late timesteps dilute)
9c51c97	0.471441	discard	decode-time-step 5ms (redundant, data binned at 10ms)
810e287	0.461460	discard	channel threshold 1.0 (270ch, weaker channels dilute)
7d3c5d4	0.450199	discard	channel threshold 2.0 (132ch, too strict)
507c51b	0.452341	discard	deep supervision (all-timestep loss, dilutes final step)
013e82e	0.436246	discard	LSTM (worse than GRU)
61e5789	0.452446	discard	label smoothing 0.1 (hard targets better)
0c50937	0.277461	discard	temporal-diff (dx loses absolute level, much worse)
320beff	0.451683	discard	batch_size 64 (less SGD noise, worse)
7d6e944	0.467261	discard	cosine LR schedule (constant lr better)
2732864	0.472173	discard	input noise std 0.1 (slightly worse)
807f2be	0.462793	discard	dropout 0.4 on mua (0.3 optimal)
05aa5bf	0.482860	keep	combine lfp+mua (566ch, complementary info)
02b7043	0.484349	keep	combine lfp+mua + proj_dim 128
9e46b4a	0.557980	keep	mixup alpha 0.4 (breakthrough generalization)
fb99ef0	0.547398	discard	mixup alpha 0.2 (gentler worse)
5d3f9ce	0.581548	keep	mixup alpha 1.0 (uniform)
b5cccb2	0.597016	keep	mixup alpha 2.0
4f0c7cf	0.589700	discard	mixup alpha 4.0 (over-mixing)
26b06e5	0.592809	discard	hidden 128 on mixup (64 still better)
2d55fe2	0.572533	discard	dropout 0.1 (0.3+mixup complementary)
e2257b0	0.577681	discard	lr 0.002 on mixup (0.001 best)
3d3828a	0.597016	discard	patience 1000 (equal, no gain)
24fd9eb	0.591634	discard	proj_dim 256 (over-compresses in GRU)
f4a4c4e	0.559156	discard	attention pooling (dilutes final hidden)
f44f6c7	0.485890	discard	manifold mixup (incoherent features)
576bd94	0.596441	discard	decode 50-300 on mixup (~equal)
a917aee	0.593794	discard	batch 64 on mixup (32 best)
3653de7	0.592835	discard	input noise 0.05 + mixup (over-regularize)
b6183cb	0.000000	crash	all rois [1,2,3] combined+mixup (killed, >60min)
f71d771	0.582488	discard	combine lfp threshold 2.0 (fewer lfp hurt)
a34ce22	0.584187	discard	combine lfp threshold 1.0 (more lfp hurt)
d4c1961	0.584788	discard	num_layers 2 on mixup (1 best)
4e3a60c	0.565792	discard	weight_decay 0.05 on mixup (0.01 best)
fad8c9d	0.598950	keep	channel dropout keep 0.8 + mixup
337c9e4	0.591503	discard	channel dropout keep 0.7 (too much drop)
33f85d9	0.598113	discard	channel keep 0.9 (0.8 optimal)
43f4738	0.581626	discard	mixup alpha 1.5 + ch dropout (2.0 best)
636aa0b	0.592835	discard	time masking (over-augmentation)
682cdf6	0.605691	keep	avg_time 20 (smoother bins, better SNR)
f0fec52	0.595109	discard	avg_time 30 (too smooth)
15ab67f	0.596546	discard	avg_time 15 (20 optimal)
03242a3	0.594508	discard	decode step 20 (denser step 10 better)
eec7bb9	0.573239	discard	decode 50-450 with avg_time 20 (400 best)
969170f	0.540395	discard	baseline correction (removes useful info)
019d727	0.557614	discard	decode-first 100 (50 best, onset useful)
6483793	0.594011	discard	mixup alpha 3.0 avg_time 20 (2.0 best)
7f199d7	0.588733	discard	proj 192 avg_time 20 (128 best)
0ff432b	0.571671	discard	MLP readout (linear better)
bc9a31a	0.563624	discard	dropout 0.2 (0.3 sharp optimum)
7591598	0.599551	discard	avg_time 25 (20 optimal)
64b3277	0.586460	discard	lr 0.0005 (0.001 best)
68c34bd	0.615776	keep	channel keep 0.85 (smoother data wants less drop)
84f99bf	0.582018	discard	channel keep 0.9 (0.85 peak)
fb66fa3	0.596781	discard	mixup alpha 2.5 (2.0 best)
6f96da4	0.577681	discard	channel keep 0.825 (0.85 peak)
a1ac01e	0.562291	discard	combine lfp threshold 2.0 (1.5 best)
98f5160	0.588968	discard	mixup alpha 1.5 (2.0 best)
4deda24	0.584892	discard	avg_time 18 (20 best)
f7a823d	0.607964	discard	weight_decay 0.005 (0.01 best)
806e4c6	0.599786	discard	proj 96 (128 best)
7439108	0.588733	discard	dropout 0.35 (0.3 best)
9cb20f4	0.575042	discard	lr 0.0015 (0.001 best)
