commit	val_acc	status	description
3159c79	0.412678	keep	baseline (default config: lfp, roi=3/IT, thresh 1.5, GRU hidden 64, proj 32, lr 1e-3, wd 0.01, patience 500)
7a37bd2	0.471703	keep	Exp1: data upgrade (mua, rois V4+IT, thresh 0.5) + cosine LR (464 ch) [+0.059 vs baseline]
8cc3283	0.580686	keep	Exp2: mixup alpha=1.0 + bigger model (hidden 128, proj 48, dropout 0.45) [+0.109 vs Exp1]
9a559fb	0.557379	discard	Exp3: label smoothing 0.1 + grad clip 5.0 [worse than Exp2, -0.023]
0b9ea10	0.567830	discard	Exp4: bidirectional GRU (eff hidden 256) [worse than Exp2, -0.013]
c54203f	0.583089	keep	Exp5: lr 0.003 + lr_min 0.0003 [match agent2 stack, +0.0024 vs Exp2]
690cb9b	0.584762	keep	Exp6: decode window 250->350ms [+0.0017 vs Exp5]
52863bb	0.640886	keep	Exp7: concat lfp+mua (975 ch) + proj_dim 128 [+0.056 vs Exp6]
e3b9a9d	0.000000	crash	Exp8 max-data (rois V1+V4+IT, thresh -1, 2048ch concat) OOM-killed (137) before training
902da86	0.575878	discard	Exp8b: max-data (rois V1+V4+IT, thresh -1, 2048ch concat) + mem-fix [worse than Exp7, -0.065; V1+dprime-off hurts]
4a65e33	0.625026	discard	Exp9: proj_dim 192 [worse than Exp7, -0.016; wider projection overfits]
4de70db	0.639214	discard	Exp10: mixup alpha 1.5 [~tied with Exp7, -0.0017]
3d23f3f	0.626097	discard	Exp11: 2-layer GRU [worse than Exp7, -0.015; depth overfits]
3e28c59	0.621551	discard	Exp12: weight_decay 0.05 [worse, -0.019; too strong L2]
8966d23	0.639083	discard	Exp13: channel threshold 0.25 (1010 ch) [~tied with Exp7, -0.0018]
192c870	0.625862	discard	Exp14: decode step 5ms (60 steps) [worse, -0.015; finer resolution harder to train]
d7a10d8	0.626803	discard	Exp15: batch_size 16 [worse, -0.014; smaller batch no help, trains to full 2000 epochs]
2d69c17	0.630539	discard	Exp16: hidden 160 [worse, -0.010; recurrent width also overfits, 128 is sweet spot]
c38bbf1	0.614575	discard	Exp17: n_epochs 3000 [worse, -0.026; more compute overfits, 2000 is better]
c4b8e44	0.625862	discard	Exp18: avg_time 5 [worse, -0.015; less smoothing hurts, 10 is optimal]
b96e202	0.654578	keep	Exp19: lr_min 3e-4->1e-5 (lower cosine floor, finer late fine-tuning) [+0.0137 vs Exp7]
30db9b2	0.642323	discard	Exp20: lr_min 1e-6 [worse, -0.012; floor too low, 1e-5 is the sweet spot]
f7a52c4	0.614313	discard	Exp21: lr 5e-3 [much worse, -0.040; 3e-3 is the peak]
c1df6ee	0.625392	discard	Exp22: lr_T_max 1000 (faster anneal) [worse, -0.029; full-length cosine is optimal]
979ff3b	0.601353	discard	Exp23: avg_time 20 [much worse, -0.053; 10 is sharply optimal, 20 too smooth]
