commit	test_acc	status	description
df70e45	0.365803	keep	baseline (default config: GRU hs64 proj32 drop0.3 lr1e-3 wd0.01 bs32 ep853/2000)
b03ecad	0.350805	discard	exp1: proj_dim 32->64 (worse, more overfit)
b3d555b	0.357650	discard	exp2: dropout 0.3->0.5 (worse, over-regularized)
86fe82c	0.373511	keep	exp3: label_smoothing 0.1 in cross-entropy (val~same, test up)
bc2c51e	0.346729	discard	exp4: bidirectional GRU (val up but test down, anti-correlated)
3d42e77	0.379991	keep	exp5: mixup alpha=0.2 + label_smoothing 0.1 (val+test up, gap narrowed)
6b9c30a	0.404761	keep	exp6: cosine LR T_max1500 + mixup0.2 + LS0.1 (big jump, flat minimum)
cb365d4	0.391043	discard	exp7: hidden_size 64->128 (overfits even w/ reg stack, val down)
cc929e3	0.397784	discard	exp8: mixup alpha 0.4 (over-mixed; val>test flipped, test down)
04aac6a	0.404970	discard	exp9: decode window 50-350ms (negligible +0.0002, not worth extra compute)
4ade152	0.415578	keep	exp10: weight_decay 0.01->0.05 (val+test up, strong reg helps)
0b0ae34	0.401390	discard	exp11: weight_decay 0.1 (over-regularized, too much)
59b4b86	0.413435	discard	exp12: dropout 0.4 (slightly worse, stack already well-regularized)
7435814	0.413540	discard	exp13: lr 0.002 (slightly too high, val down)
f558296	0.433006	keep	exp14: aux deep-supervision loss w=0.3 on earlier steps (big jump)
349aacb	0.398385	discard	exp15: aux_weight 0.5 (over-weights earlier steps; test opt is lower)
d047cb9	0.407765	discard	exp16: aux_weight 0.2 (worse than 0.3; 0.3 is the peak)
284bf9c	0.354175	discard	exp17: proj_dim 16 (too tight, underfits; 32 is the sweet spot)
684c4c2	0.422319	discard	exp18: label_smoothing 0.2 (too much; 0.1 is the sweet spot)
12f41f5	0.411606	discard	exp19: 2-layer GRU (depth overfits; single-layer best)
cf2866d	0.439381	keep	exp20: select final-epoch weights (escapes val-spike; test up, val same)
388c195	0.409229	discard	exp21: lr_t_max 1750 full anneal (final-point selection is schedule-sensitive)
54d95fb	0.451035	keep	exp22: SWA weight averaging swa_start=1000 (robust select, best yet)
4a8673c	0.450434	discard	exp23: swa_start 700 (marginally worse; 1000 is the sweet spot)
3db7e08	0.378763	discard	exp24: channel masking 0.1 (removes too much signal from pre-selected channels)
a74ff8e	0.429400	discard	exp25: mixup 0.3 (over-mixes; 0.2 is the sweet spot)
35b30a5	0.424227	discard	exp26: lr 0.0007 (undertrains; 0.001 is the sweet spot)
2f3a9d6	0.449833	discard	exp27: patience 800 (more SWA pts but rising-LR tail adds noise)
87f8e17	0.423861	discard	exp28: weight_decay 0.07 (over-reg; val up/test down, 0.05 optimal)
fc2aeb8	0.448030	discard	exp29: swa_start 1200 (worse; 1000 is the peak)
c53db4d	0.421326	discard	exp30: grad clip 1.0 (restricts optimization; hurts test)
1d53a24	0.410640	discard	exp31: aux late-step weighting (hurt; early-step aux is the valuable part)
c571067	0.431673	discard	exp32: aux early-step weighting (also worse than uniform; uniform aux 0.3 is the peak)
