commit	val_acc	status	description
3159c79	0.403663	keep	baseline (default config)
8f59f71	0.404525	keep	lr 0.002 (up from 1e-3)
96c0a91	0.373746	discard	hidden_size 128 (overfit)
946235b	0.418583	keep	dropout_p 0.5 (up from 0.3)
06edda7	0.375078	discard	weight_decay 0.05 (too much)
99fd0d3	0.374138	discard	dropout_p 0.6 (too much)
a74be01	0.296559	discard	per-time-step loss (metric confound: mean-over-time)
d20aee3	0.405571	discard	proj_dim 64 (worse than 32)
7b91f82	0.391741	discard	bidirectional GRU (worse)
3f72dc1	0.387777	discard	lr 0.003 (too high)
1257ced	0.327707	discard	temporal-diff input (worse)
25f3db8	0.438362	keep	rois V4+IT [2,3] (390 ch, +0.020)
e706359	0.400789	discard	rois V1+V4+IT (678 ch, V1 noise)
18f1fda	0.443902	keep	good_channel_threshold 1.0 (451 ch, +0.0055)
c9f6b8a	0.442438	discard	good_channel_threshold 0.5 (511 ch, too low)
18f1fda	0.435749	discard	decode-time-last 300 (worse, late noise)
ab0073c	0.456757	keep	label smoothing 0.1 (+0.013)
47ee6ca	0.449545	discard	label smoothing 0.2 (too much)
3b416d2	0.423443	discard	hidden_size 128 (still overfits w/ label smoothing)
0d580d2	0.468645	keep	cosine LR schedule (+0.012)
d7186b0	0.449911	discard	lr 0.003 with cosine (worse)
dff3a0f	0.450042	discard	grad clip max_norm 1.0 (too tight)
59c099b	0.465406	discard	weight_decay 0.02 (marginal worse)
76bf6c9	0.453987	discard	proj_dim 64 re-test (worse)
6147f95	0.483565	keep	mixup alpha 0.2 (torch-beta, n_epochs 2000) (+0.015)
a3fb972	0.494853	keep	mixup alpha 0.4 (+0.011)
cc62531	0.509877	keep	mixup alpha 0.6 (+0.015)
ee99c07	0.513247	keep	mixup alpha 0.8 (+0.003)
2e3911e	0.517454	keep	mixup alpha 1.0 (+0.004)
0e7b078	0.512646	discard	label smoothing off w/ mixup (worse)
d23ddd1	0.000000	crash	2-layer GRU (timeout, too slow w/ mixup)
145f285	0.500026	discard	dropout 0.3 w/ mixup (worse)
e79607b	0.535378	keep	neural_data mua (270 ch, +0.018)
3b866c2	0.563493	keep	threshold 0.5 (mua, 464 ch, +0.028)
ad43102	0.536241	discard	threshold 0.2 mua (502 ch, too low)
516a0c5	0.549716	discard	batch 64 mua (worse)
e1dffe9	0.572272	keep	mixup alpha 1.5 (mua, +0.009)
d4ba9fb	0.567464	discard	mixup 2.0 (worse than 1.5)
65033cd	0.543191	discard	lr 0.0015 (worse)
b1ee53b	0.550037	discard	avg_time 20 (worse)
44f27a8	0.567099	discard	weight_decay 0.02 (marginal worse)
73d66d7	0.513979	discard	rois IT-only mua (V4 helps)
1a464a3	0.559652	discard	label smoothing 0.05 (worse)
e1dffe9	0.530806	discard	decode-time-last 200 (worse)
40b683c	0.550037	discard	weight_decay 0.005 (worse)
f1e0654	0.558450	discard	proj_dim 48 (worse)
6030b86	0.566863	discard	LSTM (worse than GRU)
7a4d088	0.000000	crash	rois V1+V4+IT mua (timeout, V1 too many channels)
5ee753e	0.559417	discard	mixup 1.25 (worse than 1.5)
4f69b1d	0.562291	discard	label smoothing 0.15 (worse than 0.1)
4749c48	0.580921	keep	weight_decay 0.015 (mua, +0.0086)
346e9cf	0.570835	discard	decode-time-first 40 (early noise, worse)
18e2597	0.549331	discard	hidden_size 96 (still overfits)
0129c1f	0.561089	discard	GELU in input_proj (worse)
da17f52	0.539219	discard	proj_dim 24 (too tight, worse)
de7695a	0.557117	discard	mixup 1.75 (worse than 1.5)
d052b47	0.548260	discard	channel dropout 0.2 (too aggressive)
bf4f907	0.541022	discard	avg_time 5 (noisier, worse)
57dc39c	0.550037	discard	threshold 0.8 mua (too strict, fewer channels)
7bff610	0.551839	discard	AdamW betas (0.95,0.999) (worse)
ac69fbc	0.573944	discard	cosine warm restarts (worse than single cosine)
b91be2f	0.562056	discard	dropout 0.45 (worse than 0.5)
484ffff	0.572742	discard	learnable initial hidden state (worse)
5484e05	0.580921	discard	SWA over second half (tied epoch-best, no gain)
b15514b	0.566498	discard	lr 0.0025 (worse than 0.002)
b6c9a46	0.546692	discard	2-layer GRU 1500ep dropout0.3 (still worse)
13ebbe1	0.538853	discard	input noise std 0.1 (worse)
39d483e	0.557614	discard	per-sample mixup (worse than scalar lambda)
dc445dd	0.550541	discard	batch_size 24 (worse than 32)
62e6b2c	0.560854	discard	proj_dim 40 (worse than 32)
6be3287	0.575643	discard	weight_decay 0.017 (worse than 0.015, confirms peak)
0abbdf8	0.575773	discard	weight_decay 0.013 (worse, peak confirmed at 0.015)
f38b0fb	0.565662	discard	no wd on biases/norm (worse)
023b6c6	0.578517	discard	grad clip max_norm 5.0 (worse, early-stopped)
4d26dea	0.566628	discard	decode-time-first 60 (worse, 50ms bin useful)
