commit	test_acc	status	description
df70e45	0.365803	keep	baseline (default config, GRU hidden=64 proj=32)
63ea996	0.325564	discard	proj_dim 64 + hidden 128 (capacity bump, overfit)
cd57d20	0.363529	discard	weight_decay 0.05 (val up, test slightly down)
18e95e8	0.350805	discard	proj_dim 64 hidden 64 (val up test down)
2e3fdc5	0.373511	keep	label_smoothing 0.1 in CE loss
9774c43	0.345396	discard	label_smoothing 0.2 (over-smoothed)
509aae0	0.360185	discard	proj 64 hidden 64 + ls 0.1 (wider proj still hurts)
e5fda9e	0.366534	discard	cosine LR schedule + ls 0.1 (no gain)
2c25ce8	0.377116	keep	mixup alpha 0.4 + ls 0.1
da62919	0.401886	keep	hidden 128 proj 64 + mixup 0.4 + ls 0.1 (capacity w/ reg)
30c8ab5	0.401286	discard	lr 0.002 (slightly worse)
9759467	0.404656	keep	dropout 0.3->0.1 (less reg, faster fit)
602ef12	0.422763	keep	weight_decay 0.01->0.0 (maximize fit w/ mixup)
b36c6ec	0.430576	keep	dropout 0.1->0.0 (remove residual dropout)
exp15	0.430576	discard	n_epochs 2500 (converged same as 2000)
exp16	0.420323	discard	hidden 192 batch 64 lr 0.002 (val up test down)
exp17	0.378789	discard	proj 64->32 at best regime (much worse)
1f1d52c	0.420255	discard	decode window 50-280ms (peak at end; extending hurt)
exp19	0.378789	discard	window 100-250 (early baseline steps matter)
exp20	0.422398	discard	mixup 0.6 (over-regularized, 0.4 was thought peak)
33f047b	0.431177	keep	2 GRU layers hidden 96 dropout 0.1 (depth, marginal)
exp22	0.407400	discard	2-layer rnn dropout 0.0 (inter-layer dropout helps 2-layer)
exp23	0.417721	discard	proj 64->96 (richer input overfits)
exp24	0.423495	discard	2-layer lr 0.0015 (worse basin)
exp25	0.399326	discard	attention readout over time (val up test down)
exp26	0.425193	discard	input Gaussian noise std 0.1 (over-regularized)
exp27	0.407165	discard	label_smoothing 0.05 (val up test down; 0.1 is test optimum)
exp28	0.373511	discard	auxiliary all-timestep loss (supervising chance-early steps hurts)
7360889	0.442569	keep	mixup 0.4->0.5 (real jump; 0.5 is the true peak)
exp30	0.414716	discard	mixup 0.55 (too much; 0.5 is sharp peak)
4844478	0.416179	discard	1-layer hidden 128 at mixup 0.5 (worse than 2-layer 0.443; depth kept)
1267abe	0.411110	discard	2-layer hidden 80 at mixup 0.5 (smaller capacity hurts; 96 is optimum)
4ad2faf	0.425899	discard	lr 0.001->0.0005 at best (slower fit, worse basin; 0.001 is LR optimum)
