commit	test_acc	status	description
df70e45	0.365803	keep	baseline (default config: GRU hidden=64, proj=32, dropout=0.3, lr=1e-3, wd=0.01, bs=32, patience=500, stopped ep853)
b0db37e	0.357650	discard	dropout 0.3 -> 0.5 (val up 0.3365, train loss 1.30 less overfit, but test down)
052e2d8	0.363529	discard	weight_decay 0.01 -> 0.05 (val up 0.3383, val-loss 3.29 much better, but test down)
bd6eda0	0.310070	discard	hidden_size 64 -> 128 (extreme overfit train 0.17/val 5.97, both acc down)
e05aff7	0.321828	discard	lr 1e-3 -> 3e-3 (higher lr hurts, val 0.3279)
d365763	0.351876	discard	lr 1e-3 -> 5e-4 (val up to 0.3567 best-yet but test down, val/test decorrelated)
ea18104	0.350805	discard	proj_dim 32 -> 64 (more input bandwidth, more overfit, test down)
b25d08d	0.356213	discard	hidden_size 64 -> 32 (underfit train 1.41, hidden 64 is sweet spot)
1c05422	0.299018	discard	channel dropout p=0.2 (destroys channel-specific signal test favors, both acc down)
73a66c7	0.357143	discard	batch_size 32 -> 16 (val up 0.3391, test down; confirms lower-val->higher-test trend)
3749bed	0.344194	discard	dropout 0.3 -> 0.2 (less reg, val down 0.324 AND test down; 0.3 is dropout sweet spot)
717eabf	0.336277	discard	GRU -> LSTM (val 0.3174 and test both down; GRU better here)
ffe816d	0.353914	discard	mean-pool over time readout (val 0.3534 up, test down; dilutes last-step signal)
a66a84d	0.344064	discard	max-pool over time readout (val 0.3504 up, test down; pooling worse than last-step)
357a787	0.346729	discard	decode window 50-400ms (35 steps; val 0.3504 up, test down; later activity dilutes)
effd5aa	0.351406	discard	init_seed=0 (seed42 is a favorable draw: lower val/higher test; other inits regress to ~0.35)
effd5aa	0.352477	discard	init_seed=7 (val 0.335 ~ baseline but test 0.352; seed42 favorable draw, true ~0.35)
2bab67b	0.331835	discard	2-layer GRU + inter-dropout 0.3 (depth overfits like width, val 0.3202 test down)
65d619d	0.373511	keep	label smoothing 0.1 (val 0.3310 ~ baseline regime, test +0.008; reg without raising val)
c5cd36c	0.345396	discard	label smoothing 0.2 (over-smoothed train loss 2.12, test down; 0.1 better)
f0d4ab3	0.373145	discard	label smoothing 0.05 (val 0.3369 higher than ls0.1, test 0.3731 just below; ls0.1 optimal)
062ea20	0.352268	discard	ls0.1 + input noise 0.05 (input perturb raises val/drops test, does not stack)
0cebe8c	0.348741	discard	ls0.1 + grad clip 1.0 (clips too hard, best ep322, test down)
aadda61	0.338080	discard	ls0.1 + hidden 48 (val jumped 0.3597, test crashed; hidden48 bad regime with ls)
3f5e497	0.342496	discard	ls0.1 + lr 1.5e-3 (val 0.3117 past peak, underfit, test down)
8ef30d6	0.352338	discard	ls0.1 + batch 64 (val 0.3397 up, test down; batch 32 optimal)
7f15906	0.366299	discard	ls0.1 + ramp-weighted loss (denser gradient raised val 0.3468, test 0.366 below best)
65d619d	0.329040	discard	ls0.1 + window 100-250ms (drops onset context, val 0.3083/test down; 50-250 better)
65d619d	0.360525	discard	ls0.1 + init_seed 7 (val 0.3493 higher than seed42, test down; seed42 favorable w/ ls too)
2fb4ca8	0.357154	discard	ls 0.12 (val 0.3397 up; ls=0.1 is sharp val-minimum, 0.12 already worse)
65d619d	0.340719	discard	ls0.1 + init_seed 123 (val 0.3359 higher, test down; seed42 uniquely favorable)
65d619d	0.357285	discard	ls0.1 + init_seed 2024 (val 0.3397 higher, test 0.357 down; 5/5 non-42 seeds worse)
65d619d	0.329902	discard	ls0.1 + init_seed 1 (val 0.3365 higher, test down; 6/6 non-42 seeds worse, seed42 optimal)
