commit	test_acc	status	description
df70e45	0.365803	keep	baseline (default config)
42512c6	0.325564	discard	proj_dim 32->64, hidden_size 64->128 (worse, overcapacity/underfit split)
b216571	0.349838	discard	dropout 0.3 -> 0.15 (slightly worse, 0.3 well-tuned)
2f670af	0.318196	discard	train on all-timestep loss, eval last (early-step supervision distracts)
68b36fa	0.373511	keep	label smoothing 0.1 (new best)
f7a6948	0.345396	discard	label smoothing 0.2 (too much; val up test down)
7473088	0.347931	discard	weight_decay 0.01 -> 0.05 (over-regularizes, test down)
9a7b703	0.352137	discard	input noise aug std 0.1 (hurts test)
fdf1302	0.346729	discard	bidirectional GRU (val up test down)
134cd24	0.360185	discard	proj_dim 64 only (input bottleneck 32 is fine)
0a66adb	0.366534	discard	cosine LR annealing (neutralizes label smoothing gain)
a9a8c93	0.373145	discard	label smoothing 0.05 (~tied with 0.1, marginally lower)
9935638	0.352338	discard	batch_size 32 -> 64 (less noise hurts test)
a137fb6	0.321085	discard	batch_size 32 -> 16 (too noisy/slow)
c276313	0.349002	discard	2 GRU layers + inter-dropout 0.1 (hurts)
689705b	0.353679	discard	lr 1e-3 -> 5e-4 (lower lr hurts test)
df448e5	0.332044	discard	lr 1e-3 -> 2e-3 (too high, both drop)
64ab1ae	0.394283	keep	mixup alpha 0.2 + label smoothing 0.1 (NEW BEST, +0.021)
aea5397	0.387071	discard	mixup alpha 0.4 (val up to 0.40 but test down)
6f41312	0.366299	discard	mixup alpha 0.1 (too weak, ~baseline)
120c8b4	0.372779	discard	hidden 128 on mixup base (capacity still hurts test)
1e40543	0.394779	keep	mixup alpha 0.3 + label smoothing 0.1 (marginal new best)
b232a6a	0.366665	discard	drop label smoothing with mixup (test crashes; LS essential)
6af7ce2	0.393708	discard	dropout 0.4 on mixup+LS (neutral/slightly worse)
1e83bfc	0.381558	discard	weight_decay 0.01 -> 0.001 (less WD hurts test too)
c9fbaff	0.399587	keep	cosine LR annealing on mixup+LS base (new best)
a10fedd	0.396922	discard	lr 2e-3 + cosine (slightly worse than 1e-3)
0b3a517	0.403925	keep	bidirectional GRU on cosine+mixup+LS base (NEW BEST, capacity helps once overfitting controlled)
6a37025	0.417120	keep	proj_dim 64 -> 128 on bidir+cosine+mixup+LS base (new best, input bottleneck relieved)
5cdcb5c	0.423991	keep	proj_dim 128 (confirmed) on bidir+cosine+mixup+LS base (new best)
24f844b	0.420255	discard	proj_dim 128 -> 256 (overshoots, 128 is sweet spot)
4da61b5	0.468698	keep	hidden_size 64 -> 128 (bidir) on proj128 base (HUGE +0.045, recurrent bottleneck relieved)
ac1e5f4	0.474211	keep	hidden_size 128 -> 256 (bidir) on proj128 base (FINAL BEST, +0.0055)
